feature,importance,signed_mean,impact_direction
CLOSED_DAYS_CREDIT_MAX,0.0035324342960648294,-0.00039906504187823573,Tire vers l'ACCORD du prêt
CC_CNT_DRAWINGS_CURRENT_VAR,0.003511928881258203,-0.0011115227646177023,Tire vers l'ACCORD du prêt
TOTALAREA_MODE,0.0034944247820844054,-0.00021210201020547992,Tire vers l'ACCORD du prêt
DAYS_LAST_PHONE_CHANGE,0.0034852776811440463,0.00028572624582735184,Tire vers le REFUS du prêt
REFUSED_APP_CREDIT_PERC_MIN,0.0034815583453257377,-0.0012544754436040364,Tire vers l'ACCORD du prêt
BURO_DAYS_CREDIT_MAX,0.003470018416353623,-1.6367456270811726e-05,Tire vers l'ACCORD du prêt
DAYS_REGISTRATION,0.003460780929456646,0.0001383127556465929,Tire vers le REFUS du prêt
CC_CNT_DRAWINGS_CURRENT_MEAN,0.003326822254978318,-0.0013286943058561386,Tire vers l'ACCORD du prêt
INSTAL_PAYMENT_DIFF_SUM,0.003325965518229283,-0.0009562172954875763,Tire vers l'ACCORD du prêt
ACTIVE_AMT_CREDIT_MAX_OVERDUE_MEAN,0.003293069197910764,0.0003747168969875422,Tire vers le REFUS du prêt
DEF_30_CNT_SOCIAL_CIRCLE,0.0032909504474358427,0.0001277442580610943,Tire vers le REFUS du prêt
CLOSED_AMT_CREDIT_SUM_MEAN,0.003250027576629082,-0.0008261033827531537,Tire vers l'ACCORD du prêt
PREV_APP_CREDIT_PERC_MAX,0.003110718039507296,0.00041868354098808505,Tire vers le REFUS du prêt
CC_AMT_PAYMENT_CURRENT_SUM,0.0029775628619844417,-0.00018475947700372861,Tire vers l'ACCORD du prêt
INSTAL_DBD_MEAN,0.00295239169264458,4.786599829971144e-05,Tire vers le REFUS du prêt
ACTIVE_MONTHS_BALANCE_SIZE_MEAN,0.0028606324183365183,-0.0003328411362214455,Tire vers l'ACCORD du prêt
PREV_AMT_GOODS_PRICE_MIN,0.0028029288893053573,-0.0007572411358331311,Tire vers l'ACCORD du prêt
BURO_AMT_CREDIT_SUM_MAX,0.0027931554925913755,-0.0006830590821479214,Tire vers l'ACCORD du prêt
BURO_DAYS_CREDIT_ENDDATE_MEAN,0.002698326406229159,-0.0007143824038061576,Tire vers l'ACCORD du prêt
APPROVED_DAYS_DECISION_MAX,0.0026799367233304,0.00011627853408343186,Tire vers le REFUS du prêt
